,,
County,Beds,Cots
Baringo,820,60
Nyeri,2175,187
Migori,2796,204
Mombasa,1829,247
Muranga,997,111
Nairobi,9543,1185
Nakuru,3144,443
Nandi,926,58
Narok,1166,145
Nyamira,1133,120
Nyandarua,594,83
Samburu,590,45
Marsabit,639,71
Siaya,1475,139
Taita Taveta,443,32
Tana River,321,7
Tharaka Nithi,1016,58
Trans Nzoia,883,95
Turkana,901,95
Uasin Gishu,2251,204
Vihiga,879,123
Wajir,601,80
Meru,2239,205
Mandera,1199,124
Bomet,849,150
Kericho,1865,82
Bungoma,2038,140
Busia,1314,121
Elgeyo Marakwet,858,41
Embu,1720,186
Garissa,864,87
Homa Bay,2011,182
Isiolo,694,152
Kajiado,1449,160
Kakamega,2489,316
Kiambu,3868,494
Makueni,1346,274
Kilifi,1016,115
Kirinyaga,1608,86
Kisii,3108,281
Kisumu,2956,282
Kitui,1577,193
Kwale,521,50
Laikipia,824,85
Lamu,233,23
Machakos,2463,362
West Pokot,557,23